epoch	event	detail
1786474266.543630057	fairshare_reset_started	
1786474266.749385947	fairshare_reset_verified	
1786474268.694042430	benchmark_user_row_primed	
1786474268.906951199	boundary_before_captured	
1786474268.920800758	periodic_series_seeded	1786474268.849263756
1786474268.983576526	t0_and_submit	1786474268.926824790
1786474268.986977696	sbatch_returned	20852615
1786476790.247467721	handoff_received	
1786476790.273278701	batch_handoff_finished	0
1786476790.329877147	drain_wait_finished	0
1786476790.342336833	pipeline_artifacts_ready	
1786476790.581140945	validation_finished	0
1786476820.740274507	boundary_after_captured	
1786476820.751260894	periodic_series_terminated	1786476820.694981366
1786476821.330172371	collection_complete	
