epoch	event	detail
1786507819.842277110	fairshare_reset_started	
1786507820.118190473	fairshare_reset_verified	
1786507820.181524393	benchmark_user_row_primed	
1786507820.455832581	boundary_before_captured	
1786507820.477137906	periodic_series_seeded	1786507820.372924216
1786507820.591555845	t0_and_submit	1786507820.484193532
1786507820.597494327	sbatch_returned	20882158
1786516285.283184759	handoff_received	
1786516285.312901768	batch_handoff_finished	0
1786516287.380055455	drain_wait_finished	0
1786516287.392511788	pipeline_artifacts_ready	
1786516287.702971816	validation_finished	0
1786516317.941281671	boundary_after_captured	
1786516317.953637747	periodic_series_terminated	1786516317.889926175
1786516318.946749860	collection_complete	
