epoch	event	detail
1786421966.104020687	fairshare_reset_started	
1786421966.372411670	fairshare_reset_verified	
1786421966.433895411	benchmark_user_row_primed	
1786421966.736380704	boundary_before_captured	
1786421966.757376905	periodic_series_seeded	1786421966.663260316
1786421966.831382513	t0_and_submit	1786421966.762838515
1786421966.835686481	sbatch_returned	20842048
1786425693.664323829	handoff_received	
1786425693.693859898	batch_handoff_finished	0
1786425693.749701442	drain_wait_finished	0
1786425693.759608539	pipeline_artifacts_ready	
1786425694.000011229	validation_finished	0
1786425724.196609328	boundary_after_captured	
1786425724.209135998	periodic_series_terminated	1786425724.151629547
1786425724.821127555	collection_complete	
