venue,backend,n_valid,endpoint_process,endpoint_task_count,trace_processes,rpc_stress_measure,walltime_measure,slurm_task_visibility_fraction,walltime_h_median,walltime_h_min,walltime_h_max,first_task_start_delay_h_median,first_task_start_delay_h_min,first_task_start_delay_h_max,first_task_to_endpoint_s_median,first_task_to_endpoint_s_min,first_task_to_endpoint_s_max,allocation_wait_s_median,allocation_wait_s_min,allocation_wait_s_max,main_job_runtime_s_median,main_job_runtime_s_min,main_job_runtime_s_max,benchmark_rpc_count_median,benchmark_rpc_count_min,benchmark_rpc_count_max,benchmark_rpc_processing_s_median,benchmark_rpc_processing_s_min,benchmark_rpc_processing_s_max,benchmark_rpc_count_per_1000_endpoint_tasks_median,benchmark_rpc_count_per_1000_endpoint_tasks_min,benchmark_rpc_count_per_1000_endpoint_tasks_max,benchmark_rpc_processing_s_per_1000_endpoint_tasks_median,benchmark_rpc_processing_s_per_1000_endpoint_tasks_min,benchmark_rpc_processing_s_per_1000_endpoint_tasks_max,observer_rpc_count_median,observer_rpc_count_min,observer_rpc_count_max,observer_rpc_processing_s_median,observer_rpc_processing_s_min,observer_rpc_processing_s_max,rpc_boundary_lag_s_median,rpc_boundary_lag_s_min,rpc_boundary_lag_s_max,direct_slurm_submission_groups_median,direct_slurm_submission_groups_min,direct_slurm_submission_groups_max
phoenix,native,1,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,1.0,1.029976000189781,1.029976000189781,1.029976000189781,1.0160604446464114,1.0160604446464114,1.0160604446464114,50.09599995613098,50.09599995613098,50.09599995613098,1.7366130352020264,1.7366130352020264,1.7366130352020264,3722.6780438423157,3722.6780438423157,3722.6780438423157,5126.0,5126.0,5126.0,728.771119,728.771119,728.771119,56329.67032967033,56329.67032967033,56329.67032967033,8008.473835164835,8008.473835164835,8008.473835164835,33465.0,33465.0,33465.0,2989.824196,2989.824196,2989.824196,50.25347423553467,50.25347423553467,50.25347423553467,4922.0,4922.0,4922.0
phoenix,jobarray,1,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,1.0,0.3215021197663413,0.3215021197663413,0.3215021197663413,0.30758850865893894,0.30758850865893894,0.30758850865893894,50.08899998664856,50.08899998664856,50.08899998664856,1.8046021461486816,1.8046021461486816,1.8046021461486816,1171.7672469615936,1171.7672469615936,1171.7672469615936,387.0,387.0,387.0,45.819144,45.819144,45.819144,4252.747252747253,4252.747252747253,4252.747252747253,503.5070769230769,503.5070769230769,503.5070769230769,25729.0,25729.0,25729.0,2491.982613,2491.982613,2491.982613,78.79710912704468,78.79710912704468,78.79710912704468,324.0,324.0,324.0
phoenix,hyperqueue,1,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,0.0,0.3205811619758606,0.3205811619758606,0.3205811619758606,0.3191733842425876,0.3191733842425876,0.3191733842425876,5.067999839782715,5.067999839782715,5.067999839782715,2.149064302444458,2.149064302444458,2.149064302444458,1165.9838876724243,1165.9838876724243,1165.9838876724243,415.0,415.0,415.0,40.783021,40.783021,40.783021,4560.43956043956,4560.43956043956,4560.43956043956,448.1650659340659,448.1650659340659,448.1650659340659,4862.0,4862.0,4862.0,128.013046,128.013046,128.013046,77.17184090614319,77.17184090614319,77.17184090614319,,,
phoenix,flux,1,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,0.0,0.6469345016611947,0.6469345016611947,0.6469345016611947,0.6372083905670378,0.6372083905670378,0.6372083905670378,35.013999938964844,35.013999938964844,35.013999938964844,1.7604317665100098,1.7604317665100098,1.7604317665100098,2339.8774580955505,2339.8774580955505,2339.8774580955505,127.0,127.0,127.0,2.13248,2.13248,2.13248,1395.6043956043957,1395.6043956043957,1395.6043956043957,23.433846153846154,23.433846153846154,23.433846153846154,9044.0,9044.0,9044.0,140.132327,140.132327,140.132327,48.08907651901245,48.08907651901245,48.08907651901245,,,
