epoch	event	detail
1786497083.637521515	fairshare_reset_started	
1786497085.180968441	fairshare_reset_verified	
1786497085.247373345	benchmark_user_row_primed	
1786497085.492269124	boundary_before_captured	
1786497085.505392823	periodic_series_seeded	1786497085.430673653
1786497087.535402890	t0_and_submit	1786497085.511213951
1786497087.539102833	sbatch_returned	20874172
1786499969.230177375	handoff_received	
1786499969.262360882	batch_handoff_finished	0
1786499969.315032378	drain_wait_finished	0
1786499969.328766041	pipeline_artifacts_ready	
1786499969.566368982	validation_finished	0
1786499999.773517252	boundary_after_captured	
1786499999.786631802	periodic_series_terminated	1786499999.716394176
1786500000.490220706	collection_complete	
