epoch	event	detail
1786476821.840174671	fairshare_reset_started	
1786476822.059172234	fairshare_reset_verified	
1786476822.120440736	benchmark_user_row_primed	
1786476822.449259069	boundary_before_captured	
1786476822.485653312	periodic_series_seeded	1786476822.265125667
1786476822.567530187	t0_and_submit	1786476822.490729883
1786476822.571162162	sbatch_returned	20852689
1786480369.167948068	handoff_received	
1786480369.201643477	batch_handoff_finished	0
1786480369.260469139	drain_wait_finished	0
1786480369.271305626	pipeline_artifacts_ready	
1786480369.604146859	validation_finished	0
1786480400.119621775	boundary_after_captured	
1786480400.130879021	periodic_series_terminated	1786480400.069856474
1786480401.028995386	collection_complete	
