epoch	event	detail
1786168961.990749807	fairshare_reset_started	
1786168962.232510057	fairshare_reset_verified	
1786168962.303903840	benchmark_user_row_primed	
1786168962.552185719	boundary_before_captured	
1786168962.566943051	periodic_series_seeded	1786168962.487079721
1786168962.646078860	t0_and_submit	1786168962.572399298
1786168962.650277080	sbatch_returned	20809950
1786172689.745986487	handoff_received	
1786172689.825956902	batch_handoff_finished	0
1786172689.947720977	drain_wait_finished	0
1786172689.998682172	pipeline_artifacts_ready	
1786172690.454007915	validation_finished	0
1786172720.794347003	boundary_after_captured	
1786172720.806721928	periodic_series_terminated	1786172720.739474192
1786172721.525079893	collection_complete	
