epoch	event	detail
1786503219.882104293	fairshare_reset_started	
1786503220.745004214	fairshare_reset_verified	
1786503220.819009205	benchmark_user_row_primed	
1786503221.084276047	boundary_before_captured	
1786503221.096617751	periodic_series_seeded	1786503220.996598877
1786503223.161975124	t0_and_submit	1786503221.101582792
1786503223.167603052	sbatch_returned	20882114
1786507785.832927802	handoff_received	
1786507785.878511578	batch_handoff_finished	0
1786507787.373320578	drain_wait_finished	0
1786507787.399092446	pipeline_artifacts_ready	
1786507787.678565031	validation_finished	0
1786507817.963513221	boundary_after_captured	
1786507817.985052808	periodic_series_terminated	1786507817.886332090
1786507819.210990008	collection_complete	
