epoch	event	detail
1786425725.263854110	fairshare_reset_started	
1786425725.475469576	fairshare_reset_verified	
1786425725.534649373	benchmark_user_row_primed	
1786425725.748195802	boundary_before_captured	
1786425725.758444203	periodic_series_seeded	1786425725.690859051
1786425725.822972725	t0_and_submit	1786425725.763194422
1786425725.826114941	sbatch_returned	20847053
1786427286.528116931	handoff_received	
1786427286.552160773	batch_handoff_finished	0
1786427286.630059973	drain_wait_finished	0
1786427286.640667793	pipeline_artifacts_ready	
1786427286.847429991	validation_finished	0
1786427317.065807637	boundary_after_captured	
1786427317.076564786	periodic_series_terminated	1786427317.016212744
1786427317.579434826	collection_complete	
