epoch	event	detail
1786482239.382683474	fairshare_reset_started	
1786482239.645287333	fairshare_reset_verified	
1786482239.716495961	benchmark_user_row_primed	
1786482240.180706397	boundary_before_captured	
1786482240.209126593	periodic_series_seeded	1786482239.922138531
1786482240.301842728	t0_and_submit	1786482240.221501756
1786482240.339703386	sbatch_returned	20864546
1786486022.985942013	handoff_received	
1786486023.099024671	batch_handoff_finished	0
1786486023.311079929	drain_wait_finished	0
1786486023.367194076	pipeline_artifacts_ready	
1786486023.841072301	validation_finished	0
1786486054.141526035	boundary_after_captured	
1786486054.155485471	periodic_series_terminated	1786486054.077889735
1786486056.113337670	collection_complete	
