epoch	event	detail
1786595982.278870291	fairshare_reset_started	
1786595982.747416716	fairshare_reset_verified	
1786595982.830390930	benchmark_user_row_primed	
1786595984.269070630	boundary_before_captured	
1786595984.358319475	periodic_series_seeded	1786595984.076077713
1786595984.494531787	t0_and_submit	1786595984.393308447
1786595984.529024818	sbatch_returned	20917581
1786662989.247540806	handoff_received	
1786662989.288553602	batch_handoff_finished	0
1786662989.346468901	drain_wait_finished	0
1786662989.362388847	pipeline_artifacts_ready	
1786662989.623900998	validation_finished	0
1786663019.896897070	boundary_after_captured	
1786663019.908763909	periodic_series_terminated	1786663019.837818682
1786663024.233922104	collection_complete	
