venue,replicate,backend,run_dir,sample_count,window_t0_epoch,window_endpoint_epoch,sdiag_data_since,context_interpretation,run_median_benchmark_rpc_per_min,run_p95_benchmark_rpc_per_min,run_median_background_rpc_per_min,run_p95_background_rpc_per_min,run_median_main_cycles_per_min,run_p95_main_cycles_per_min,run_median_backfill_cycles_per_min,run_p95_backfill_cycles_per_min,run_median_main_last_cycle_s,run_p95_main_last_cycle_s,run_median_backfill_last_cycle_s,run_p95_backfill_last_cycle_s,run_median_server_threads,run_p95_server_threads,run_median_agent_queue,run_p95_agent_queue,across_run_median_benchmark_rpc_per_min,across_run_p95_benchmark_rpc_per_min,across_run_median_background_rpc_per_min,across_run_p95_background_rpc_per_min,across_run_median_main_cycles_per_min,across_run_p95_main_cycles_per_min,across_run_median_backfill_cycles_per_min,across_run_p95_backfill_cycles_per_min,across_run_median_main_last_cycle_s,across_run_p95_main_last_cycle_s,across_run_median_backfill_last_cycle_s,across_run_p95_backfill_last_cycle_s,across_run_median_server_threads,across_run_p95_server_threads,across_run_median_agent_queue,across_run_p95_agent_queue
phoenix,1,jobarray,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,3,1786167724.5233688,1786168881.931,Fri Aug 07 17:00:00 2026 (1786147200),"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",8.77076411960133,37.05707641196013,674.9904291861972,721.0790429186197,134.59749804543753,637.4198826949092,1.2017633754056922,1.3801763375405691,0.006016,0.0113782,12.66472,17.5392145,15.0,15.0,0.0,0.0,8.77076411960133,37.05707641196013,674.9904291861972,721.0790429186197,134.59749804543753,637.4198826949092,1.2017633754056922,1.3801763375405691,0.006016,0.0113782,12.66472,17.5392145,15.0,15.0,0.0,0.0
phoenix,1,native,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,12,1786168962.5723994,1786172670.486,Fri Aug 07 17:00:00 2026 (1786147200),"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",101.6,102.61215946843853,713.3,742.7431475950964,109.30996677740863,135.19099667774086,1.4,1.4912522041025902,0.014417,0.019531449999999995,11.9281355,12.9603605,1.0,12.699999999999996,0.0,0.0,101.6,102.61215946843853,713.3,742.7431475950964,109.30996677740863,135.19099667774086,1.4,1.4912522041025902,0.014417,0.019531449999999995,11.9281355,12.9603605,1.0,12.699999999999996,0.0,0.0
phoenix,1,flux,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,7,1786173781.656794,1786176110.621,Fri Aug 07 17:00:00 2026 (1786147200),"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",3.0,3.9859186115876697,746.8,762.6669767441861,2.8,4.5879069767441845,1.4,1.6021522223955167,0.012483,0.02139769999999999,8.481605,8.8680918,1.0,4.4999999999999964,0.0,0.0,3.0,3.9859186115876697,746.8,762.6669767441861,2.8,4.5879069767441845,1.4,1.6021522223955167,0.012483,0.02139769999999999,8.481605,8.8680918,1.0,4.4999999999999964,0.0,0.0
phoenix,1,hyperqueue,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,3,1786178791.1688168,1786179945.261,Fri Aug 07 17:00:00 2026 (1786147200),"benchmark RPC rate is identity-attributable; background RPCs, scheduler cycles, and controller pressure include co-tenants and Slurm housekeeping and are not attributed to a backend",29.008157981924263,33.68081579819243,744.2,758.0722639422744,11.203150668881095,12.64031506688811,1.4,1.4003544502491232,0.013784,0.0174272,6.00216,9.605412600000001,1.0,1.9,0.0,0.0,29.008157981924263,33.68081579819243,744.2,758.0722639422744,11.203150668881095,12.64031506688811,1.4,1.4003544502491232,0.013784,0.0174272,6.00216,9.605412600000001,1.0,1.9,0.0,0.0
