venue,backend,n_analyzed,n_valid,n_censored_ordinary_substitutions,endpoint_process,endpoint_task_count,trace_processes,rpc_stress_measure,walltime_measure,slurm_task_visibility_fraction,walltime_h_median,walltime_h_min,walltime_h_max,first_task_start_delay_h_median,first_task_start_delay_h_min,first_task_start_delay_h_max,first_task_to_endpoint_s_median,first_task_to_endpoint_s_min,first_task_to_endpoint_s_max,allocation_wait_s_median,allocation_wait_s_min,allocation_wait_s_max,main_job_runtime_s_median,main_job_runtime_s_min,main_job_runtime_s_max,benchmark_rpc_count_median,benchmark_rpc_count_min,benchmark_rpc_count_max,benchmark_rpc_processing_s_median,benchmark_rpc_processing_s_min,benchmark_rpc_processing_s_max,benchmark_rpc_count_per_1000_endpoint_tasks_median,benchmark_rpc_count_per_1000_endpoint_tasks_min,benchmark_rpc_count_per_1000_endpoint_tasks_max,benchmark_rpc_processing_s_per_1000_endpoint_tasks_median,benchmark_rpc_processing_s_per_1000_endpoint_tasks_min,benchmark_rpc_processing_s_per_1000_endpoint_tasks_max,observer_rpc_count_median,observer_rpc_count_min,observer_rpc_count_max,observer_rpc_processing_s_median,observer_rpc_processing_s_min,observer_rpc_processing_s_max,rpc_boundary_lag_s_median,rpc_boundary_lag_s_min,rpc_boundary_lag_s_max,direct_slurm_submission_groups_median,direct_slurm_submission_groups_min,direct_slurm_submission_groups_max
phoenix,native,3,3,0,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,1.0,1.029976000189781,1.0289933781491385,1.0436768050326242,1.0160604446464114,1.0150844892528321,1.02979541612996,50.07200002670288,49.973000049591064,50.09599995613098,2.66166090965271,1.7366130352020264,3.0940210819244385,3722.6780438423157,3719.8330285549164,3772.877126932144,5114.0,5111.0,5126.0,717.848771,585.447982,728.771119,56197.8021978022,56164.83516483517,56329.67032967033,7888.448032967034,6433.494307692308,8008.473835164835,33465.0,33342.0,34272.0,2989.824196,2438.658078,3148.110716,53.01262950897217,50.25347423553467,56.61988973617554,4922.0,4922.0,4922.0
phoenix,jobarray,3,3,0,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,1.0,0.4134230015675227,0.3215021197663413,0.4888981023099687,0.3995163349310557,0.30758850865893894,0.47498199118508233,50.08899998664856,50.06399989128113,50.098000049591064,2.4363629817962646,1.8046021461486816,2.5606861114501953,1503.547923564911,1171.7672469615936,1774.948937177658,440.0,387.0,545.0,48.48345,45.819144,75.978268,4835.1648351648355,4252.747252747253,5989.010989010989,532.7851648351648,503.5070769230769,834.9260219780219,28071.0,25729.0,40158.0,2491.982613,2293.390782,4209.962358,78.79710912704468,72.08950352668762,102.93021273612976,359.0,324.0,452.0
phoenix,hyperqueue,3,3,0,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,0.0,0.3205811619758606,0.3201780621210734,0.973487019472652,0.3199233398834864,0.3191733842425876,0.9720514639218648,5.067999839782715,0.9170000553131104,5.167999982833862,2.149064302444458,2.1179287433624268,26.1895170211792,1166.2818157672882,1165.9838876724243,3493.6456909179688,415.0,199.0,419.0,38.734687,29.716356,40.783021,4560.43956043956,2186.813186813187,4604.395604395604,425.6559010989011,326.5533626373626,448.1650659340659,4903.0,4862.0,30470.0,128.013046,78.905506,1059.880908,77.17184090614319,73.02585649490356,78.39563870429993,,,
phoenix,flux,3,3,0,LASTZ_ALIGNMENT:CAT_PSL,91,LASTZ_ALIGNMENT:CAT_PSL;LASTZ_ALIGNMENT:LASTZ;LASTZ_ALIGNMENT:PARTITION_QUERY;LASTZ_ALIGNMENT:PARTITION_TARGET;PREPARE_QUERY_GENOME:EXTRACT_CHROMS;PREPARE_QUERY_GENOME:FA_TO_TWO_BIT;PREPARE_QUERY_GENOME:TWO_BIT_INFO;PREPARE_TARGET_GENOME:EXTRACT_CHROMS;PREPARE_TARGET_GENOME:FA_TO_TWO_BIT;PREPARE_TARGET_GENOME:TWO_BIT_INFO,exact benchmark-user sdiag delta from the pre-submit boundary through the post-main-job boundary,clean start t0 through the inferred terminal-process completion; validation runtime excluded,0.0,0.6469345016611947,0.6415728053119447,0.6846903264522552,0.6372083905670378,0.6304575275050269,0.6735719931125641,40.015000104904175,35.013999938964844,40.026000022888184,2.2461423873901367,1.7604317665100098,44.59037923812866,2339.8774580955505,2320.1156466007233,2437.116961479187,127.0,125.0,131.0,9.049266,2.13248,9.428434,1395.6043956043957,1373.6263736263736,1439.5604395604396,99.4424835164835,23.433846153846154,103.60916483516483,9716.0,9044.0,10571.0,140.132327,119.016881,234.601977,61.90008473396301,48.08907651901245,86.882981300354,,,
