epoch	event	detail
1786480401.584393038	fairshare_reset_started	
1786480403.557137914	fairshare_reset_verified	
1786480405.588266325	benchmark_user_row_primed	
1786480405.828181745	boundary_before_captured	
1786480405.839435015	periodic_series_seeded	1786480405.762530178
1786480405.904851694	t0_and_submit	1786480405.843831728
1786480405.908516815	sbatch_returned	20857457
1786482206.967289224	handoff_received	
1786482207.022921136	batch_handoff_finished	0
1786482207.099335739	drain_wait_finished	0
1786482207.165281285	pipeline_artifacts_ready	
1786482207.409411211	validation_finished	0
1786482238.149074755	boundary_after_captured	
1786482238.230377796	periodic_series_terminated	1786482237.966503728
1786482238.845383254	collection_complete	
